,ConstructorsID,Name,Nationality,URL
0,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
1,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
3,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
5,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
8,alphatauri,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri
9,aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One
10,alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
12,alpine,Alpine F1 Team,French,http://en.wikipedia.org/wiki/Alpine_F1_Team
13,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
15,haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
5,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
7,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
10,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
12,marussia,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1
14,lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1
16,caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1
439,manor,Manor Marussia,British,http://en.wikipedia.org/wiki/Manor_Motorsport
795,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
2075,racing_point,Racing Point,British,http://en.wikipedia.org/wiki/Racing_Point_F1_Team
